,author,content,description,publishedAt,source.id,source.name,title,url,urlToImage,published_date,published_time
0,Reuters Editorial,"BEIJING (Reuters) - China’s monthly crude steel output fell for a second straight month in July, official data showed on Wednesday, as steel mills trimmed output amid heightened environmental measures and record raw material prices. 
The world’s top steelmak… [+1672 chars]","China's monthly crude steel output fell for a second straight month in July, official data showed on Wednesday, as steel mills trimmed output amid heightened environmental measures and record raw material prices.",2019-08-14T02:38:59Z,reuters,Reuters,"China's July steel output eases on environmental curbs, shrinking margins",https://www.reuters.com/article/us-china-economy-output-steel-idUSKCN1V4062,https://s3.reutersmedia.net/resources/r/?m=02&d=20190814&t=2&i=1418702817&w=1200&r=LYNXNPEF7D05J,2019-08-14,02:38:59
1,Reuters Editorial,"BEIJING (Reuters) - China’s factory gate prices shrank for the first time in three years in July, stoking deflation worries and putting pressure on Beijing to deliver more stimulus as the economy sputters amid an intensifying trade war with the United States.… [+2570 chars]","China's factory gate prices shrank for the first time in three years in July, stoking deflation worries and putting pressure on Beijing to deliver more stimulus as the economy sputters amid an intensifying trade war with the United States.",2019-08-09T03:36:35Z,reuters,Reuters,"China's producer prices fall for first time in three years, add to deflation worries",https://www.reuters.com/article/us-china-economy-inflation-idUSKCN1UZ0AD,https://s4.reutersmedia.net/resources/r/?m=02&d=20190809&t=2&i=1417008016&w=1200&r=LYNXNPEF7805T,2019-08-09,03:36:35
2,Reuters Editorial,"GENEVA (Reuters) - A Swiss prosecutor said on Monday he was seeking prison terms for Israeli billionaire Beny Steinmetz and two associates over the alleged payment of bribes linked to the allocation of mining licences in Guinea between 2005 and 2010. 
Geneva… [+1978 chars]",A Swiss prosecutor said on Monday he was seeking prison terms for Israeli billionaire Beny Steinmetz and two associates over the alleged payment of bribes linked to the allocation of mining licences in Guinea between 2005 and 2010.,2019-08-12T19:53:03Z,reuters,Reuters,Geneva prosecutors indict billionaire Steinmetz in Guinea corruption case,https://www.reuters.com/article/us-swiss-guinea-bsr-idUSKCN1V21HI,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-12,19:53:03
3,Stephanie Nebehay,"GENEVA (Reuters) - Israeli billionaire Beny Steinmetz rejects Swiss corruption charges against him in connection with winning mining contracts in Guinea and will appear in court to fight them, his Geneva lawyer told Reuters on Tuesday. 
Geneva prosecutors’ i… [+3051 chars]","Israeli billionaire Beny Steinmetz rejects Swiss corruption charges against him in connection with winning mining contracts in Guinea and will appear in court to fight them, his Geneva lawyer told Reuters on Tuesday.",2019-08-13T12:34:37Z,reuters,Reuters,Steinmetz will fight corruption charges in Geneva court: lawyer,https://www.reuters.com/article/us-swiss-guinea-bsgr-idUSKCN1V315E,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-13,12:34:37
4,Christian Plumb,SAO PAULO (Reuters) - Brazilian miner Vale SA (VALE3.SA) on Wednesday said it swung to a quarterly loss as the company announced more than $2 billion in fresh writedowns related to two deadly dam bursts suffered by the company over a period of less than four … [+2580 chars],Brazilian miner Vale SA on Wednesday said it swung to a quarterly loss as the company announced more than $2 billion in fresh writedowns related to two deadly dam bursts suffered by the company over a period of less than four years.,2019-08-01T00:01:05Z,reuters,Reuters,Brazil's Vale dam disasters trigger $2 billion in fresh writedowns,https://www.reuters.com/article/us-vale-sa-results-idUSKCN1UQ2ZS,https://s4.reutersmedia.net/resources/r/?m=02&d=20190801&t=2&i=1414069602&w=1200&r=LYNXNPEF70208,2019-08-01,00:01:05
5,Aditya Soni,"* Aussie shares at highest since Nov. 1, 2007 
* U.S. Fed meeting in focus 
* Tech stocks top gainers on the benchmark 
By Aditya Soni 
July 29 (Reuters) - Australian shares neared a record peak on Monday, with technology stocks dominating the gains after… [+2398 chars]","Australian shares near all-time high on tech gains; NZ up Reuters Australian shares neared a record peak on Monday, with technology stocks dominating the gains after U.S. peers pushed the Nasdaq and S&P 500 to all-time...",2019-07-29T02:45:00Z,reuters,Reuters,Australian shares near all-time high on tech gains; NZ up - Reuters,https://www.reuters.com/article/australia-stocks-midday-idUSL4N24U0LP,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-07-29,02:45:00
6,Muyu Xu,"BEIJING/SHANGHAI (Reuters) - Small steel mills in China are taking advantage of lax environmental enforcement to ramp up production ahead of bigger rivals, industry and government officials said, jeopardizing anti-smog targets and defying industry consolidati… [+4112 chars]","Small steel mills in China are taking advantage of lax environmental enforcement to ramp up production ahead of bigger rivals, industry and government officials said, jeopardizing anti-smog targets and defying industry consolidation.",2019-07-26T07:10:35Z,reuters,Reuters,China's steel minnows sidestep pollution rules to boost output,https://www.reuters.com/article/us-china-steel-pollution-idUSKCN1UL0RC,https://s4.reutersmedia.net/resources/r/?m=02&d=20190726&t=2&i=1412151286&w=1200&r=LYNXNPEF6P0JT,2019-07-26,07:10:35
7,Reuters Editorial,"SAO PAULO, July 26 (Reuters) - Brazilian steelmaker Usiminas hopes to raise steel prices in the local market by 2% or 3% in the third quarter, due to higher international iron ore prices, company executives said on Friday. 
Usiminas released quarterly earnin… [+429 chars]","Brazilian steelmaker Usiminas hopes to raise steel prices in the local market by 2% or 3% in the third quarter, due to higher international iron ore prices, company executives said on Friday.",2019-07-26T16:38:20Z,reuters,Reuters,Brazil steelmaker Usiminas plans steel price hike in Q3,https://www.reuters.com/article/usiminas-results-idUSE6N22L012,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-07-26,16:38:20
8,Christian Plumb,"(Adds details on revenues, writedowns, background) 
By Christian Plumb 
SAO PAULO, July 31 (Reuters) - Brazilian miner Vale SA on Wednesday said it swung to a quarterly loss as the company announced more than $2 billion in fresh writedowns related to two de… [+1708 chars]",Brazilian miner Vale SA on Wednesday said it swung to a quarterly loss as the company announced more than $2 billion in fresh writedowns related to two deadly dam bursts suffered by the company over a period of less than four years.,2019-07-31T23:18:16Z,reuters,Reuters,UPDATE 1-Brazil's Vale posts loss after surprise new dam burst charges,https://www.reuters.com/article/vale-sa-results-idUSL2N24W26K,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-07-31,23:18:16
9,Reuters Editorial,"(adds detail) 
JOHANNESBURG, Aug 22 (Reuters) - South African miner Exxaro Resources on Thursday reported a 42% rise in half-year headline profit as income from equity investments offset lower core earnings. 
Headline earnings per share (HEPS) rose to 17.30… [+1300 chars]",South African miner Exxaro Resources on Thursday reported a 42% rise in half-year headline profit as income from equity investments offset lower core earnings.,2019-08-22T07:38:39Z,reuters,Reuters,UPDATE 1-South Africa's Exxaro buoyed by equity investments as core profit falls,https://www.reuters.com/article/exxaro-resources-results-idUSL5N25I0XU,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-22,07:38:39
